user	imgname	file_size	width	height	aspect_ratio	image_size	diagonal	file_size_s	gray_mean	gray_std_dev	HSV_H_mean	HSV_H_std_dev	HSV_S_mean	HSV_S_std_dev	HSV_V_mean	HSV_V_std_dev	HSV_H_circular_mean	HSV_H_circular_std_dev	contrast_range	contrast_range_lower	contrast_range_upper	colorful	hue_count	edge_density	edge_distance	edge_box_size	edge_box_x1	edge_box_y1	edge_box_x2	edge_box_y2	sharp_laplacian	dof_inner
hillaryclinton	2016-01-01 00.01.34 1152632257065842741_1834271085.jpg	64687	400	400	1.0	160000	565.685424949238	0.40429375	66.5697625	74.07958732467127	98.97419375	58.88740338805457	137.53979375	73.08990878676386	91.7160125	81.90678528729987	146.67386277222877	30.28267658793937	194	0	193	50.238107964436146	10	0.09536875	0.3470380183936662	0.809625	1	50	381	389	28.494880732526298	1.286135920627599
hillaryclinton	2016-01-01 14.29.38 1153069174374857120_1834271085.jpg	61889	400	400	1.0	160000	565.685424949238	0.38680625	216.86694375	69.41041277995929	60.369175	66.59399895876035	48.7273375	87.49436906259221	240.15714375	31.153606726859664	175.27394223927135	36.872460153388936	182	74	255	77.20813611140858	2	0.0717125	0.2886818329629878	0.4843	22	26	253	359	46.76929728668783	1.3993668747308248
hillaryclinton	2016-01-01 16.07.55 1153118642918979960_1834271085.jpg	38501	400	266	1.5037593984962405	106400	480.37069019664386	0.3618515037593985	113.41827067669173	65.25655782459495	24.624934210526316	26.9968066284657	99.29348684210527	60.48340590533573	131.7449530075188	68.85936303599792	17.598843523161182	15.746046397432693	209	3	211	47.90332052508715	3	0.09173872180451127	0.31955226136846704	0.7924342105263158	0	5	364	235	22.927263691828742	1.5680000375927268
hillaryclinton	2016-01-04 22.35.52 1155488231766162380_1834271085.jpg	41516	400	400	1.0	160000	565.685424949238	0.259475	36.30609375	35.62413069628803	78.61694375	65.15696921020296	120.94989375	55.96088719466223	45.9397625	41.395613251208076	8.873725560545358	39.67097207511134	79	3	81	26.593197797955824	6	0.0654375	0.3252567977098339	0.6975	94	0	372	399	18.59160987643351	1.0777738390985185
hillaryclinton	2016-01-05 16.09.43 1156018648567053002_1834271085.jpg	23818	400	400	1.0	160000	565.685424949238	0.1488625	248.6882625	30.394335117437492	9.623975	30.273520900274793	1.25428125	10.321290364867103	249.0094	29.580675476398444	179.2381824643242	16.847993683487907	3	253	255	3.54847630660132	2	0.0365625	0.21757844901716422	0.210975	19	147	366	243	52.93600664953865	2.0817677977525033
hillaryclinton	2016-01-06 21.04.53 1156891991310662570_1834271085.jpg	68159	400	400	1.0	160000	565.685424949238	0.42599375	65.652725	47.00591532003578	91.17134375	70.16816468363224	160.07325	78.00127112385734	111.0283625	77.52941713032926	166.32184536211705	27.16999603682123	129	0	128	102.01229351568048	7	0.14868125	0.31147051023594785	0.7222	31	74	398	387	31.441791137164653	1.287352525870438
hillaryclinton	2016-01-07 16.01.02 1157463826100190164_1834271085.jpg	59154	400	400	1.0	160000	565.685424949238	0.3697125	145.0144125	59.92728326713838	24.3289	47.58946731988077	104.6294375	36.989542386106834	179.5925125	57.2469187287608	8.853119846863944	5.399974557992571	177	52	228	36.259267401019656	3	0.05725	0.323176893426304	0.7599375	14	84	399	398	19.23849704794298	1.1551488115059274
hillaryclinton	2016-01-08 14.39.48 1158147719170160672_1834271085.jpg	52442	320	400	0.8	128000	512.2499389946279	0.409703125	90.3497890625	72.76794666385918	70.0612265625	65.40719434145258	96.1279921875	69.05707796046282	114.2535625	81.0531351749184	0.23911333998684214	34.06881010965662	193	4	196	61.49073219962492	5	0.1225625	0.31397613046540246	0.75721875	0	0	245	393	25.357919239917177	1.0509289731634934
hillaryclinton	2016-01-08 15.59.49 1158187996752705732_1834271085.jpg	43157	320	400	0.8	128000	512.2499389946279	0.3371640625	92.2248984375	66.38247267543828	73.9851953125	63.8631383889308	97.761328125	58.737763524508516	118.2235390625	74.02149966800211	171.5927950759615	38.97823296435187	175	5	179	62.23349304865433	7	0.0833359375	0.29936248198088256	0.715	0	43	319	328	26.3226140865335	1.296793143962363
hillaryclinton	2016-01-08 17.00.21 1158218457440909368_1834271085.jpg	69984	400	400	1.0	160000	565.685424949238	0.4374	53.059075	46.98021442739885	65.2929375	63.55680618644312	111.40431875	51.74910368884082	71.6893375	55.658955602949405	169.33902844788975	35.50192937570073	106	6	111	43.5340210626141	4	0.13679375	0.3276104132992186	0.77796875	13	0	337	382	31.780703025420948	1.1778212682536493
hillaryclinton	2016-01-10 20.48.02 1159782605173881134_1834271085.jpg	57218	400	400	1.0	160000	565.685424949238	0.3576125	96.03139375	72.1293068605436	77.98105	47.50489649391418	76.22118125	45.884830936864624	110.82328125	70.24993978099482	102.88643514665566	64.09254156030688	190	20	209	34.947212278087555	7	0.07089375	0.33532925928363366	0.74806875	2	1	342	351	28.6041099613953	1.1667835710639434
hillaryclinton	2016-01-11 14.51.14 1160327798641981466_1834271085.jpg	62244	400	400	1.0	160000	565.685424949238	0.389025	77.37603125	68.14353074026194	54.38120625	58.784029617277525	73.81351875	46.43286261898353	90.06125	72.40693534418854	174.47429981279603	36.43423596779718	183	3	185	33.36554478243533	3	0.09995	0.3062145550509779	0.6658125	20	62	337	396	26.067125452905238	1.3679912460000438
hillaryclinton	2016-01-11 20.08.51 1160487659556108714_1834271085.jpg	37608	400	266	1.5037593984962405	106400	480.37069019664386	0.35345864661654136	90.59463345864661	73.71172672845522	42.38698308270677	56.81483055978701	107.61487781954887	52.82440871860313	113.30563909774436	84.51511457875878	7.0312961089533195	20.64270488193663	189	10	198	52.801780916203576	4	0.092453007518797	0.3094226804628812	0.70125	0	18	398	204	24.964769047773487	1.352885093520595
hillaryclinton	2016-01-12 09.56.32 1160904250059979165_1834271085.jpg	66016	400	400	1.0	160000	565.685424949238	0.4126	126.789	58.02542075676832	68.33105	43.97879751536529	127.44034375	83.53923646186763	161.64198125	64.78472778228407	85.54579586046441	49.32699573789371	188	14	201	94.74068489169642	9	0.10463125	0.3244333005340733	0.6890375	1	119	398	395	26.492415563214003	0.9031750755528234
hillaryclinton	2016-01-12 22.20.20 1161278614265723074_1834271085.jpg	66366	400	400	1.0	160000	565.685424949238	0.4147875	61.968	67.12579823361506	65.219625	57.06435853367122	128.1252875	78.456062962287	80.2698	67.4025630666965	166.36951929974106	44.6601840535088	172	0	171	40.255737358201	6	0.0876	0.34953977582221635	0.7715125	10	15	371	355	42.35583795626966	0.9196863719358963
hillaryclinton	2016-01-13 09.50.24 1161625939009927973_1834271085.jpg	39072	400	400	1.0	160000	565.685424949238	0.2442	118.33919375	57.396993966147406	41.5445625	63.732019046030494	98.2650125	65.84958489523562	146.83329375	58.454721176105274	2.7181843450601613	15.542502590713415	187	0	186	47.84454610564959	3	0.0352875	0.237532217080722	0.31025	167	0	302	364	15.794563203124678	2.1124568086576674
hillaryclinton	2016-01-13 19.28.42 1161917004925434437_1834271085.jpg	40832	320	400	0.8	128000	512.2499389946279	0.319	121.9530546875	95.32137101773209	28.850796875	36.17214187468708	91.7346171875	70.3231350963204	135.3255859375	97.5385317373847	16.477928687361402	19.347597833558527	234	2	235	41.71645905033226	4	0.0406640625	0.314756644160852	0.565625	60	0	240	399	33.09441864896022	1.6713642175842387
hillaryclinton	2016-01-14 15.24.07 1162518678505323357_1834271085.jpg	40562	400	400	1.0	160000	565.685424949238	0.2535125	53.9151	52.422056588710824	136.91875	55.81333676584387	175.10845625	88.01650452325312	89.7712375	63.2248637224201	165.1611890080026	28.576451307291695	136	3	138	74.18981606345903	5	0.05219375	0.2953980077443715	0.6031	99	57	394	382	21.54289180840657	1.5217447369579378
hillaryclinton	2016-01-14 18.48.00 1162621295877224991_1834271085.jpg	41709	400	400	1.0	160000	565.685424949238	0.26068125	86.53098125	59.51980565460667	31.24991875	48.61195888738077	109.39575625	44.68885230950316	113.72230625	76.8439658817217	7.370828858706428	18.3178264137406	164	14	177	58.964668784547925	3	0.0614875	0.3529480662196304	0.8203875	7	25	399	358	11.394716673266757	1.118803148413451
hillaryclinton	2016-01-15 22.41.10 1163463429593299095_1834271085.jpg	48932	400	400	1.0	160000	565.685424949238	0.305825	62.60275	64.63771000691082	67.2092	56.55285236272349	84.906025	62.50167522714392	71.0417625	68.4661955339538	174.83237726650398	43.57013768857025	163	0	162	31.386775944746006	6	0.08008125	0.33224332178542904	0.84039375	0	46	398	382	16.296018868930027	1.8091506334993428
hillaryclinton	2016-01-17 15.16.32 1164689188697733538_1834271085.jpg	50897	400	400	1.0	160000	565.685424949238	0.31810625	70.29380625	57.079718347565986	103.46750625	64.80832976289554	96.18514375	57.66963241639256	93.8283625	67.93072714588439	155.5190963163509	31.887488142718038	155	1	155	54.19094404054084	7	0.07153125	0.32230773753186875	0.72921875	33	41	391	365	18.359897684044807	1.1641940385902811
hillaryclinton	2016-01-18 20.11.36 1165562479155148954_1834271085.jpg	74229	400	400	1.0	160000	565.685424949238	0.46393125	100.91513125	70.87937466954173	61.20783125	62.17669991581672	86.2807125	68.11200536977563	121.80594375	74.3614320291227	2.9508743983681205	33.4491698058066	192	7	198	59.48450580281234	6	0.12429375	0.3794886807721122	0.86565	0	1	347	398	36.22360074766465	1.0983305605963443
hillaryclinton	2016-01-19 20.59.42 1166311459568810435_1834271085.jpg	83578	400	400	1.0	160000	565.685424949238	0.5223625	94.2298625	72.27266807535953	84.549	50.39628395526797	93.00980625	63.85830151661928	120.6857375	83.43386978068976	123.69649967245437	45.87066786793119	215	1	215	58.71211427247305	7	0.1326625	0.3443631592153976	0.82479375	1	0	341	386	36.12924746866926	1.0867284943342426
hillaryclinton	2016-01-20 15.24.39 1166867604020722448_1834271085.jpg	51855	400	263	1.520912547528517	105200	478.715990959149	0.49291825095057035	91.59807984790875	81.49767252806501	0.0	0.0	0.0	0.0	91.59807984790875	81.49767252806501	0.0	-0.0	214	0	213	0.0	0	0.1533555133079848	0.34321687428577247	0.7848193916349809	1	6	377	224	55.582902059969356	1.0758109055229863
hillaryclinton	2016-01-21 17.22.05 1167651485003086569_1834271085.jpg	64076	400	400	1.0	160000	565.685424949238	0.400475	94.09503125	62.75535714432294	83.087	56.75930281460476	94.11345625	55.21318894910287	118.2442	70.38012151069363	137.15023644216518	44.60395143855203	193	0	192	49.30161363059869	6	0.1010125	0.31471264935837534	0.72909375	13	47	397	349	26.428829785120993	1.630515665156226
hillaryclinton	2016-01-23 09.51.57 1168874472201058581_1834271085.jpg	61477	400	400	1.0	160000	565.685424949238	0.38423125	142.2950875	95.55401874524873	78.94558125	63.91848730883459	60.46906875	63.54888024786725	153.6016	91.62164306232452	157.6191179031981	34.4723678349021	243	13	255	23.894620254737447	7	0.0884	0.338900018685371	0.79875	9	33	368	387	29.22004704847809	1.0209055424221625
hillaryclinton	2016-01-23 15.33.33 1169046409850190289_1834271085.jpg	73654	400	400	1.0	160000	565.685424949238	0.4603375	71.1324375	51.5435007814622	97.2517875	56.22115318592143	113.35561875	52.86363096737348	96.776275	58.63928704055307	146.15199416573708	36.410294969795565	145	6	150	47.583484669230494	10	0.12398125	0.33539204877995543	0.7195625	0	110	396	399	54.18108140087643	1.118027521068931
hillaryclinton	2016-01-23 21.42.04 1169231885529839841_1834271085.jpg	86525	400	400	1.0	160000	565.685424949238	0.54078125	63.1053	56.89210852051451	72.039925	67.1416023676407	129.9927	67.2013303194959	80.259075	62.12044544789079	175.4989313289643	32.72744657327695	152	1	152	41.07538602748318	6	0.16853125	0.3310022924278774	0.8188125	69	2	398	398	45.91984754472834	1.358222136764318
hillaryclinton	2016-01-24 15.39.43 1169774288854645428_1834271085.jpg	35738	319	400	0.7975	127600	511.62583984783254	0.28007836990595614	95.86915360501567	67.22672741715841	68.54746865203762	78.45621657421971	94.67899686520376	69.12481553777667	115.87231191222571	63.6065853544618	178.10476133855036	16.49883441525687	186	12	197	35.45188114908843	5	0.07174764890282131	0.30932901002095364	0.7375	0	12	318	306	17.21429491745601	1.3740156115917124
hillaryclinton	2016-01-25 10.59.09 1170357851857680547_1834271085.jpg	70502	400	400	1.0	160000	565.685424949238	0.4406375	92.8306375	62.63085594452301	46.09839375	58.548428458157275	127.51551875	75.31354266775928	125.29904375	67.11537503870171	0.634465014624192	26.549813192395618	180	4	183	68.27914247243528	3	0.11999375	0.32496868574212595	0.765	0	0	399	305	33.87287270070843	1.4833159195155992
hillaryclinton	2016-01-25 14.00.23 1170449068985481979_1834271085.jpg	47250	400	400	1.0	160000	565.685424949238	0.2953125	102.097425	89.13338233158986	0.0	0.0	0.0	0.0	102.097425	89.13338233158986	0.0	-0.0	244	1	244	0.0	0	0.0663	0.3275067663579669	0.77056875	0	39	398	347	25.01738940186156	1.3132803914107198
hillaryclinton	2016-01-25 19.31.22 1170615660448905459_1834271085.jpg	77593	400	400	1.0	160000	565.685424949238	0.48495625	85.683375	61.743435064866404	76.36785625	69.51789068670982	99.8489625	66.65106619682534	113.1563875	74.46366374245794	165.70137012833018	28.680531750090513	169	6	174	67.73217299058003	5	0.14595	0.331512237862521	0.8077	5	61	398	388	31.45877420627024	1.4128139783118117
hillaryclinton	2016-01-25 22.09.13 1170695106975561871_1834271085.jpg	42376	400	400	1.0	160000	565.685424949238	0.26485	109.84745	85.23897137458606	22.57835	24.485570725990847	100.3273375	67.5528540304634	121.72785	84.52677355061827	17.73676103197708	12.613353120438076	246	8	253	32.71362216267834	3	0.02584375	0.3115861631702296	0.5795625	119	39	399	368	18.146031700655957	0.8181576911450666
hillaryclinton	2016-01-26 19.33.05 1171341295551052067_1834271085.jpg	77971	400	400	1.0	160000	565.685424949238	0.48731875	136.7417875	73.93227949485154	62.01664375	51.69274675170188	107.960025	90.06760802030537	167.23445625	71.35117351184097	21.01233777371823	51.925970961871144	219	37	255	86.57782884088911	4	0.1017375	0.3332795591354846	0.71235625	5	101	393	393	34.23416412861516	1.13009468798416
hillaryclinton	2016-01-28 10.16.41 1172510802663504544_1834271085.jpg	82871	400	400	1.0	160000	565.685424949238	0.51794375	52.68120625	47.7581671213936	60.68230625	62.39889674049703	119.03505	56.90401487590748	68.1442375	53.87734781931636	177.29265599652578	34.050911015830756	120	1	120	35.315095476692875	6	0.1718375	0.337619935110169	0.828075	37	2	398	367	38.238792331577365	1.1468848480160003
hillaryclinton	2016-01-28 18.01.47 1172744893958781928_1834271085.jpg	92020	400	400	1.0	160000	565.685424949238	0.575125	119.36036875	84.27569231761922	91.4526875	60.79145272180411	99.187975	68.65478117290431	141.481625	86.10687203910834	157.80163138732868	48.68348679831471	228	16	243	57.404294616589524	7	0.15375625	0.3487200843381172	0.8595	0	4	359	385	63.01996196053645	1.145881855389885
hillaryclinton	2016-01-28 20.31.48 1172820399819389754_1834271085.jpg	62660	400	400	1.0	160000	565.685424949238	0.391625	88.55443125	72.50536074828553	62.169	63.96615385498802	101.705425	63.21536423662665	110.2617625	77.89032107966685	174.98958369289636	33.59558597808068	205	3	207	48.164518001204286	5	0.08444375	0.31762176758927285	0.75	0	0	299	399	22.181487558321262	1.1533095257231911
